city,longitude,latitude,elevation
乌审旗,108.819485,38.60453,1318.0
伊金霍洛旗,109.747435,39.565064,1316.0
呼伦贝尔市,119.77845,49.166536,627.0
阿荣旗,123.458943,48.126553,223.0
莫力达瓦达斡尔族自治旗,124.519023,48.477728,193.0
鄂伦春自治旗,123.725643,50.591604,423.0
鄂温克族自治旗,119.755253,49.146692,614.0
陈巴尔虎旗,119.424026,49.328916,596.0
新巴尔虎左旗,118.269782,48.21827,635.0
新巴尔虎右旗,116.8237,48.671865,555.0
满洲里市,117.379134,49.59862,653.0
牙克石市,120.711639,49.285947,657.0
扎兰屯市,122.708475,48.028396,320.0
额尔古纳市,120.180506,50.243102,574.0
根河市,121.520165,50.779758,715.0
巴彦淖尔市,107.387767,40.742987,1039.0
五原县,108.267466,41.088446,1025.0
磴口县,107.008288,40.330534,1053.0
乌拉特前旗,108.652114,40.737018,1022.0
乌拉特中旗,108.513653,41.58813,1320.0
乌拉特后旗,107.074748,41.08412,1036.0
杭锦后旗,107.151296,40.886596,1037.0
乌兰察布市,113.132227,40.994526,1378.0
卓资县,112.577716,40.894618,1473.0
化德县,114.01029,41.904123,1472.0
商都县,113.577778,41.562176,1379.0
兴和县,113.834176,40.8723,1280.0
凉城县,112.504243,40.532358,1260.0
察哈尔右翼前旗,113.212409,40.783551,1315.0
察哈尔右翼中旗,112.635348,41.277449,1740.0
察哈尔右翼后旗,113.191505,41.435937,1448.0
四子王旗,111.706663,41.533542,1491.0
丰镇市,113.109875,40.437022,1194.0
兴安盟,122.037796,46.082373,278.0
乌兰浩特市,122.093309,46.072233,269.0
阿尔山市,119.943577,47.17744,1066.0
科尔沁右翼前旗,121.952638,46.079664,298.0
科尔沁右翼中旗,121.476357,45.060728,267.0
扎赉特旗,122.899627,46.723154,191.0
突泉县,121.593972,45.381918,296.0
锡林郭勒盟,116.047387,43.933212,987.0
二连浩特市,111.949594,43.64285,963.0
锡林浩特市,116.085814,43.933417,995.0
阿巴嘎旗,114.950185,44.022831,1137.0
苏尼特左旗,113.667171,43.859718,1061.0
苏尼特右旗,112.641806,42.742417,1105.0
东乌珠穆沁旗,116.97526,45.497329,836.0
西乌珠穆沁旗,117.608668,44.587746,998.0
太仆寺旗,115.283173,41.876889,1451.0
镶黄旗,113.847287,42.232371,1337.0
正镶白旗,115.029748,42.287493,1377.0
正蓝旗,115.991648,42.241815,1302.0
多伦县,116.485549,42.203454,1237.0
乌拉盖管理区管委会,118.833403,45.709922,860.0
阿拉善盟,105.729135,38.851554,1675.0
阿拉善左旗,105.666208,38.833589,1527.0
阿拉善右旗,101.666917,39.216185,1502.0
额济纳旗,101.055861,41.953963,939.0
沈阳市,123.464675,41.677576,50.0
康平县,123.343701,42.727249,102.0
法库县,123.440294,42.50108,134.0
新民市,122.835964,41.985757,32.0
大连市,121.614786,38.913962,34.0
长海县,122.588487,39.272779,6.0
瓦房店市,121.979463,39.62701,131.0
庄河市,122.965881,39.680825,2.0
鞍山市,122.994183,41.108239,50.0
台安县,122.436037,41.412866,8.0
岫岩满族自治县,123.280933,40.290995,86.0
海城市,122.685176,40.882548,18.0
抚顺市,123.957053,41.881311,84.0
抚顺县,123.899923,41.730094,117.0
新宾满族自治县,125.039994,41.734031,336.0
清原满族自治县,124.924028,42.100804,262.0
本溪市,123.684984,41.486834,110.0
本溪满族自治县,124.119545,41.301553,216.0
桓仁满族自治县,125.361061,41.267048,266.0
丹东市,124.354419,40.000646,4.0
宽甸满族自治县,124.783674,40.731319,285.0
东港市,124.152581,39.863193,4.0
凤城市,124.066873,40.45218,67.0
锦州市,121.126859,41.096114,22.0
黑山县,122.126645,41.653552,15.0
义县,121.239558,41.533553,68.0
凌海市,121.35499,41.160636,32.0
北镇市,121.777503,41.588657,66.0
营口市,122.219148,40.625027,-11.0
盖州市,122.34845,40.400259,9.0
大石桥市,122.509006,40.644482,29.0
阜新市,121.670052,42.022028,144.0
阜新蒙古族自治县,121.757901,42.065175,167.0
彰武县,122.538563,42.386264,83.0
辽阳市,123.239669,41.267396,40.0
辽阳县,123.106426,41.206246,48.0
灯塔市,123.339398,41.426537,39.0
盘锦市,122.170729,40.71956,1.0
盘山县,121.996408,41.243367,4.0
铁岭市,123.726008,42.223709,58.0
铁岭县,123.728933,42.223395,58.0
西丰县,124.727491,42.738178,213.0
昌图县,124.086628,42.779333,145.0
调兵山市,123.567039,42.468007,89.0
开原市,124.051886,42.577645,86.0
朝阳市,120.488801,41.601855,166.0
朝阳县,120.390001,41.497923,189.0
建平县,119.64328,41.402891,413.0
喀喇沁左翼蒙古族自治县,119.741223,41.12815,315.0
北票市,120.771389,41.801117,225.0
凌源市,119.401574,41.245445,400.0
葫芦岛市,120.836783,40.710974,20.0
绥中县,120.34432,40.325576,15.0
建昌县,119.836669,40.824484,379.0
兴城市,120.756661,40.60999,8.0
长春市,125.323643,43.816996,214.0
农安县,125.184921,44.432829,190.0
榆树市,126.533126,44.840263,198.0
德惠市,125.728552,44.521788,168.0
公主岭市,124.79379,43.495116,205.0
吉林市,126.549719,43.838132,195.0
永吉县,126.497899,43.672198,240.0
蛟河市,127.344773,43.72382,276.0
桦甸市,126.746245,42.972272,265.0
舒兰市,126.965515,44.405922,239.0
磐石市,126.060328,42.946608,322.0
四平市,124.350599,43.166764,165.0
梨树县,124.335389,43.30706,166.0
伊通满族自治县,125.305393,43.345754,244.0
双辽市,123.502398,43.518301,119.0
辽源市,125.144676,42.887961,268.0
东丰县,125.53096,42.677253,346.0
东辽县,124.991045,42.925636,260.0
通化市,125.939721,41.728312,405.0
通化县,125.758927,41.680135,417.0
辉南县,126.046006,42.684706,300.0
柳河县,125.744654,42.284594,364.0
